Date,X
01-Jan-1967,11
01-Feb-1967,68
01-Mar-1967,143
01-Apr-1967,228
01-May-1967,345
01-Jun-1967,437
01-Jul-1967,473
01-Aug-1967,348
01-Sep-1967,188
01-Oct-1967,112
01-Nov-1967,49
01-Dec-1967,6
01-Jan-1968,9
01-Feb-1968,55
01-Mar-1968,125
01-Apr-1968,219
01-May-1968,346
01-Jun-1968,432
01-Jul-1968,457
01-Aug-1968,325
01-Sep-1968,194
01-Oct-1968,121
01-Nov-1968,67
01-Dec-1968,9
01-Jan-1969,13
01-Feb-1969,71
01-Mar-1969,112
01-Apr-1969,166
01-May-1969,330
01-Jun-1969,433
01-Jul-1969,478
01-Aug-1969,360
01-Sep-1969,191
01-Oct-1969,105
01-Nov-1969,58
01-Dec-1969,8
01-Jan-1970,12
01-Feb-1970,72
01-Mar-1970,157
01-Apr-1970,241
01-May-1970,368
01-Jun-1970,437
01-Jul-1970,448
01-Aug-1970,335
01-Sep-1970,201
01-Oct-1970,126
01-Nov-1970,67
01-Dec-1970,9
01-Jan-1971,13
01-Feb-1971,76
01-Mar-1971,157
01-Apr-1971,234
01-May-1971,350
01-Jun-1971,436
01-Jul-1971,464
01-Aug-1971,345
01-Sep-1971,216
01-Oct-1971,133
01-Nov-1971,65
01-Dec-1971,9
01-Jan-1972,13
01-Feb-1972,77
01-Mar-1972,151
01-Apr-1972,247
01-May-1972,353
01-Jun-1972,436
01-Jul-1972,447
01-Aug-1972,328
01-Sep-1972,190
01-Oct-1972,117
01-Nov-1972,64
01-Dec-1972,9
01-Jan-1973,13
01-Feb-1973,76
01-Mar-1973,140
01-Apr-1973,206
01-May-1973,357
01-Jun-1973,435
01-Jul-1973,459
01-Aug-1973,363
01-Sep-1973,225
01-Oct-1973,135
01-Nov-1973,61
01-Dec-1973,8
01-Jan-1974,12
01-Feb-1974,70
01-Mar-1974,144
01-Apr-1974,213
01-May-1974,346
01-Jun-1974,434
01-Jul-1974,448
01-Aug-1974,338
01-Sep-1974,190
01-Oct-1974,112
01-Nov-1974,63
01-Dec-1974,9
01-Jan-1975,13
01-Feb-1975,77
01-Mar-1975,160
