model	BIC
2,0,3,3,1,2	5.49073173726651
3,0,2,3,1,2	5.49372994295114
2,0,3,3,1,3	5.49786886997534
3,0,3,3,1,2	5.5013751180649
3,0,0,3,1,3	5.51097179485124
3,0,0,2,1,3	5.5162299718943
2,0,1,2,1,3	5.51667586990698
3,0,0,0,1,1	5.52561988769884
2,0,1,0,1,1	5.52656370141037
2,0,2,2,1,3	5.52699456093925
1,0,3,2,1,3	5.52701842626567
1,0,1,3,1,3	5.5282827499593
2,0,0,2,1,3	5.52832146332797
1,0,2,3,1,3	5.52946293979404
3,0,3,3,1,3	5.5295838717783
2,0,2,3,1,3	5.53065917841841
2,0,0,3,1,3	5.53094645327607
3,0,2,2,1,3	5.53124597637731
3,0,0,1,1,1	5.53193640619128
2,0,1,1,1,1	5.53248530668729
3,0,0,2,1,1	5.53263758548769
3,0,0,0,1,2	5.53265597384629
2,0,1,2,1,1	5.53290279386344
2,0,1,0,1,2	5.5332894699212
2,0,3,2,1,3	5.53430223860705
3,0,1,0,1,1	5.53606289636622
2,0,0,0,1,1	5.53619703972
1,0,3,0,1,1	5.53658129556615
2,0,2,0,1,1	5.53675914356517
2,0,1,1,1,2	5.53894128644568
3,0,2,0,1,1	5.53920889049413
1,0,2,2,1,3	5.53948161129836
2,0,0,2,1,1	5.54153936368473
1,0,3,2,1,1	5.54198384940121
2,0,0,1,1,1	5.5420140661559
3,0,1,1,1,1	5.54285752203028
2,0,2,1,1,1	5.54285815146889
2,0,0,0,1,2	5.54288428980788
2,0,2,2,1,1	5.54336744186387
1,0,3,1,1,1	5.54338241025581
3,0,0,2,1,2	5.54345826983648
2,0,2,0,1,2	5.54362855319074
2,0,1,2,1,2	5.5437569646737
3,0,0,3,1,1	5.54376289936684
3,0,1,2,1,1	5.54403804201266
2,0,3,0,1,1	5.54405467405673
1,0,3,0,1,2	5.54407814793171
2,0,1,3,1,1	5.54417953430586
3,0,1,0,1,2	5.54487338555138
3,0,0,1,1,3	5.54498760758209
2,0,1,1,1,3	5.54534189635262
3,0,2,3,1,3	5.54588792844993
3,0,0,1,1,2	5.5459934421022
3,0,3,2,1,3	5.54608879493894
3,0,2,1,1,1	5.54754381051737
3,0,2,0,1,2	5.54789933048841
2,0,0,1,1,2	5.54863258530925
2,0,2,1,1,2	5.54940863434337
3,0,2,2,1,1	5.54955632339667
1,0,1,2,1,3	5.54977146430067
2,0,3,1,1,1	5.55025902715159
2,0,3,0,1,2	5.55100852978059
2,0,3,2,1,1	5.55115571489755
2,0,0,2,1,2	5.55165913921574
2,0,0,3,1,1	5.55212690497386
3,0,3,0,1,1	5.55296399305962
1,0,3,2,1,2	5.55298793687799
2,0,0,1,1,3	5.5534040064183
1,0,3,3,1,1	5.55340483016716
1,0,2,0,1,1	5.55343749651436
2,0,2,2,1,2	5.55419423065942
3,0,1,2,1,2	5.5543608241783
2,0,1,3,1,2	5.55458171371751
2,0,2,3,1,1	5.55458613332408
1,0,3,1,1,3	5.55485384031334
3,0,1,3,1,1	5.55521334690552
2,0,2,1,1,3	5.55577676224
